year,month,day,luna
1989,1,7,0
1989,1,14,10
1989,1,21,20
1989,1,29,30
1989,2,5,0
1989,2,12,10
1989,2,20,20
1989,2,28,30
1989,3,7,0
1989,3,14,10
1989,3,22,20
1989,3,30,30
1989,4,5,0
1989,4,12,10
1989,4,20,20
1989,4,28,30
1989,5,5,0
1989,5,12,10
1989,5,20,20
1989,5,27,30
1989,6,3,0
1989,6,10,10
1989,6,18,20
1989,6,26,30
1989,7,2,0
1989,7,10,10
1989,7,18,20
1989,7,25,30
1989,8,1,0
1989,8,9,10
1989,8,16,20
1989,8,23,30
1989,8,30,0
1989,9,8,10
1989,9,15,20
1989,9,21,30
1989,9,29,0
1989,10,7,10
1989,10,14,20
1989,10,21,30
1989,10,29,0
1989,11,6,10
1989,11,12,20
1989,11,19,30
1989,1,28,0
1989,12,5,10
1989,12,12,20
1989,12,19,30
1989,12,27,0
1990,1,4,10
1990,1,10,20
1990,1,18,30
1990,1,26,0
1990,2,2,10
1990,2,9,20
1990,2,17,30
1990,2,25,0
1990,3,3,10
1990,3,11,20
1990,3,19,30
1990,3,26,0
1990,4,2,10
1990,4,9,20
1990,4,18,30
1990,4,24,0
1990,5,1,10
1990,5,9,20
1990,5,17,30
1990,5,24,0
1990,5,31,10
1990,6,8,20
1990,6,15,30
1990,6,22,0
1990,6,29,10
1990,7,7,20
1990,7,15,30
1990,7,21,0
1990,7,29,10
1990,8,6,20
1990,8,13,30
1990,8,20,0
1990,8,28,10
1990,9,4,20
1990,9,11,30
1990,9,18,0
1990,9,26,10
1990,10,4,20
1990,10,10,30
1990,10,18,0
1990,10,26,10
1990,11,2,20
1990,11,9,30
1990,11,17,0
1990,11,25,10
1990,12,1,20
1990,12,8,30
1990,12,16,0
1990,12,24,10
1990,12,31,20
1991,1,7,30
1991,1,15,0
1991,1,23,10
1991,1,29,20
1991,2,6,30
1991,2,14,0
1991,2,21,10
1991,2,28,20
1991,3,8,30
1991,3,16,0
1991,3,22,10
1991,3,29,20
1991,4,6,30
1991,4,14,0
1991,4,21,10
1991,4,28,20
1991,5,6,30
1991,5,13,0
1991,5,20,10
1991,5,28,20
1991,6,5,30
1991,6,12,0
1991,6,18,10
1991,6,26,20
1991,7,4,30
1991,7,11,0
1991,7,18,10
1991,7,26,20
1991,8,3,30
1991,8,9,0
1991,8,16,10
1991,8,25,20
1991,9,1,30
1991,9,8,0
1991,9,15,10
1991,9,23,20
1991,9,30,30
1991,10,7,0
1991,10,15,10
1991,10,23,20
1991,10,29,30
1991,11,6,0
1991,11,14,10
1991,11,21,20
1991,11,28,30
1991,12,5,0
1991,12,14,10
1991,12,21,20
1991,12,27,30
1992,1,4,0
1992,1,12,10
1992,1,19,20
1992,1,26,30
1992,2,3,0
1992,2,11,10
1992,2,18,20
1992,2,24,30
1992,3,4,0
1992,3,11,10
1992,3,18,20
1992,3,25,30
1992,4,2,0
1992,4,10,10
1992,4,16,20
1992,4,24,30
1992,5,2,0
1992,5,9,10
1992,5,16,20
1992,5,24,30
1992,5,31,0
1992,6,7,10
1992,6,14,20
1992,6,23,30
1992,6,30,0
1992,7,6,10
1992,7,14,20
1992,7,22,30
1992,7,29,0
1992,8,5,10
1992,8,13,20
1992,8,21,30
1992,8,27,0
1992,9,3,10
1992,9,11,20
1992,9,19,30
1992,9,26,0
1992,10,3,10
1992,10,11,20
1992,10,18,30
1992,10,25,0
1992,11,2,10
1992,11,10,20
1992,11,17,30
1992,11,24,0
1992,12,1,10
1992,12,9,20
1992,12,16,30
1992,12,23,0
1992,12,31,10
1993,1,8,20
1993,1,14,30
1993,1,22,0
1993,1,30,10
1993,2,6,20
1993,2,13,30
1993,2,21,0
1993,3,1,10
1993,3,8,20
1993,3,14,30
1993,3,22,0
1993,3,30,10
1993,4,6,20
1993,4,13,30
1993,4,21,0
1993,4,29,10
1993,5,5,20
1993,5,13,30
1993,5,21,0
1993,5,28,10
1993,6,4,20
1993,6,11,30
1993,6,19,0
1993,6,26,10
1993,7,3,20
1993,7,11,30
1993,7,19,0
1993,7,25,10
1993,8,2,20
1993,8,10,30
1993,8,17,0
1993,8,24,10
1993,8,31,20
1993,9,8,30
1993,9,15,0
1993,9,22,10
1993,9,30,20
1993,10,8,30
1993,10,15,0
1993,10,22,10
1993,10,30,20
1993,11,6,30
1993,11,13,0
1993,11,20,10
1993,11,28,20
1993,12,6,30
1993,12,13,0
1993,12,20,10
1993,12,28,20
1994,1,4,30
1994,1,11,0
1994,1,19,10
1994,1,27,20
1994,2,3,30
1994,2,10,0
1994,2,18,10
1994,2,25,20
1994,3,4,30
1994,3,11,0
1994,3,20,10
1994,3,27,20
1994,4,2,30
1994,4,10,0
1994,4,18,10
1994,4,25,20
1994,5,2,30
1994,5,10,0
1994,5,18,10
1994,5,24,20
1994,5,31,30
1994,6,9,0
1994,6,16,10
1994,6,23,20
1994,6,30,30
1994,7,8,0
1994,7,15,10
1994,7,22,20
1994,7,30,30
1994,8,7,0
1994,8,13,10
1994,8,20,20
1994,8,28,30
1994,9,5,0
1994,9,12,10
1994,9,19,20
1994,9,27,30
1994,10,4,0
1994,10,11,10
1994,10,19,20
1994,10,27,30
1994,11,3,0
1994,11,9,10
1994,11,17,20
1994,11,25,30
1994,12,2,0
1994,12,9,10
1994,12,17,20
1994,12,25,30
1995,1,1,0
1995,1,8,10
1995,1,16,20
1995,1,23,30
1995,1,30,0
1995,2,7,10
1995,2,15,20
1995,2,22,30
1995,3,1,0
1995,3,9,10
1995,3,16,20
1995,3,23,30
1995,3,30,0
1995,4,7,10
1995,4,15,20
1995,4,21,30
1995,4,29,0
1995,5,7,10
1995,5,14,20
1995,5,21,30
1995,5,29,0
1995,6,6,10
1995,6,12,20
1995,6,19,30
1995,6,27,0
1995,7,5,10
1995,7,12,20
1995,7,19,30
1995,7,27,0
1995,8,3,10
1995,8,10,20
1995,8,17,30
1995,8,25,0
1995,9,2,10
1995,9,8,20
1995,9,16,30
1995,9,24,0
1995,10,1,10
1995,10,8,20
1995,10,16,30
1995,10,23,0
1995,10,30,10
1995,11,6,20
1995,11,15,30
1995,11,22,0
1995,11,28,10
1995,12,6,20
1995,12,14,30
1995,12,21,0
1995,12,28,10
1996,1,5,20
1996,1,13,30
1996,1,20,0
1996,1,27,10
1996,2,4,20
1996,2,12,30
1996,2,18,0
1996,2,25,10
1996,3,5,20
1996,3,12,30
1996,3,19,0
1996,3,26,10
1996,4,3,20
1996,4,10,30
1996,4,17,0
1996,4,25,10
1996,5,3,20
1996,5,9,30
1996,5,17,0
1996,5,25,10
1996,6,1,20
1996,6,8,30
1996,6,15,0
1996,6,23,10
1996,6,30,20
1996,7,7,30
1996,7,15,0
1996,7,23,10
1996,7,30,20
1996,8,5,30
1996,8,14,0
1996,8,21,10
1996,8,28,20
1996,9,4,30
1996,9,12,0
1996,9,20,10
1996,9,26,20
1996,10,4,30
1996,10,12,0
1996,10,19,10
1996,10,26,20
1996,11,2,30
1996,11,10,0
1996,11,17,10
1996,11,24,20
1996,12,2,30
1996,12,10,0
1996,12,17,10
1996,12,24,20
1997,1,1,30
1997,1,8,0
1997,1,15,10
1997,1,23,20
1997,1,31,30
1997,2,7,0
1997,2,14,10
1997,2,22,20
1997,3,2,30
1997,3,8,0
1997,3,15,10
1997,3,23,20
1997,3,31,30
1997,4,7,0
1997,4,14,10
1997,4,22,20
1997,4,29,30
1997,5,6,0
1997,5,14,10
1997,5,22,20
1997,5,29,30
1997,6,5,0
1997,6,12,10
1997,6,20,20
1997,6,27,30
1997,7,4,0
1997,7,12,10
1997,7,19,20
1997,7,26,30
1997,8,3,0
1997,8,11,10
1997,8,18,20
1997,8,24,30
1997,9,1,0
1997,9,9,10
1997,9,16,20
1997,9,23,30
1997,10,1,0
1997,10,9,10
1997,10,15,20
1997,10,22,30
1997,10,31,0
1997,11,7,10
1997,11,14,20
1997,11,21,30
1997,11,29,0
1997,12,6,10
1997,12,13,20
1997,12,21,30
1997,12,29,0
1998,1,5,10
1998,1,12,20
1998,1,20,30
1998,1,27,0
1998,2,3,10
1998,2,11,20
1998,2,19,30
1998,2,26,0
1998,3,5,10
1998,3,12,20
1998,3,20,30
1998,3,27,0
1998,4,3,10
1998,4,11,20
1998,4,19,30
1998,4,26,0
1998,5,3,10
1998,5,11,20
1998,5,18,30
1998,5,25,0
1998,6,1,10
1998,6,9,20
1998,6,17,30
1998,6,23,0
1998,7,1,10
1998,7,9,20
1998,7,16,30
1998,7,23,0
1998,7,31,10
1998,8,7,20
1998,8,14,30
1998,8,21,0
1998,8,29,10
1998,9,6,20
1998,9,12,30
1998,9,20,0
1998,9,28,10
1998,10,5,20
1998,10,12,30
1998,10,20,0
1998,10,28,10
1998,11,3,20
1998,11,10,30
1998,11,18,0
1998,11,26,10
1998,12,3,20
1998,12,10,30
1998,12,18,0
1998,12,26,10
1999,1,1,20
1999,1,9,30
1999,1,17,0
1999,1,24,10
1999,1,31,20
1999,2,8,30
1999,2,15,0
1999,2,22,10
1999,3,1,20
1999,3,10,30
1999,3,17,0
1999,3,24,10
1999,3,31,20
1999,4,8,30
1999,4,15,0
1999,4,22,10
1999,4,30,20
1999,5,8,30
1999,5,15,0
1999,5,21,10
1999,5,29,20
1999,6,6,30
1999,6,13,0
1999,6,20,10
1999,6,28,20
1999,7,6,30
1999,7,12,0
1999,7,20,10
1999,7,28,20
1999,8,4,30
1999,8,11,0
1999,8,18,10
1999,8,26,20
1999,9,2,30
1999,9,9,0
1999,9,17,10
1999,9,25,20
1999,10,1,30
1999,10,9,0
1999,10,17,10
1999,10,24,20
1999,10,31,30
1999,11,7,0
1999,11,16,10
1999,11,22,20
1999,11,29,30
1999,12,7,0
1999,12,15,10
1999,12,22,20
1999,12,29,30
2000,1,6,0
2000,1,14,10
2000,1,20,20
2000,1,27,30
2000,2,5,0
2000,2,12,10
2000,2,19,20
2000,2,26,30
2000,3,5,0
2000,3,12,10
2000,3,19,20
2000,3,27,30
2000,4,4,0
2000,4,11,10
2000,4,18,20
2000,4,26,30
2000,5,3,0
2000,5,10,10
2000,5,18,20
2000,5,26,30
2000,6,2,0
2000,6,8,10
2000,6,16,20
2000,6,24,30
2000,7,1,0
2000,7,8,10
2000,7,16,20
2000,7,24,30
2000,7,30,0
2000,8,6,10
2000,8,14,20
2000,8,22,30
2000,8,29,0
2000,9,5,10
2000,9,13,20
2000,9,20,30
2000,9,27,0
2000,10,5,10
2000,10,13,20
2000,10,20,30
2000,10,27,0
2000,11,3,10
2000,11,11,20
2000,11,18,30
2000,11,25,0
2000,12,3,10
2000,12,11,20
2000,12,17,30
2000,12,25,0
2001,1,2,10
2001,1,9,20
2001,1,16,30
2001,1,24,0
2001,2,1,10
2001,2,7,20
2001,2,14,30
2001,2,23,0
2001,3,2,10
2001,3,9,20
2001,3,16,30
2001,3,24,0
2001,4,1,10
2001,4,7,20
2001,4,15,30
2001,4,23,0
